,Date,Entry,Side,Take,Stop
0,1727972760000,0.6611,SHORT,0.6526085,0.6653458
1,1727975460000,0.6682,LONG,0.6762988,0.6641506
2,1727978040000,0.675,LONG,0.6811071,0.6719464
3,1727979660000,0.6758,LONG,0.6811248,0.6731376
4,1727980380000,0.6673,SHORT,0.6616270,0.6701365
5,1727987040000,0.6771,SHORT,0.6731458,0.6790771
6,1727989380000,0.672,SHORT,0.6683488,0.6738256
7,1727990100000,0.679,LONG,0.6842592,0.6763704
8,1727994780000,0.6884,LONG,0.6927045,0.6862477
9,1727996160000,0.6884,LONG,0.6923561,0.6864220
10,1728004260000,0.683,LONG,0.6881024,0.6804488
11,1728008580000,0.6877,SHORT,0.6837012,0.6896994
12,1728017340000,0.6889,SHORT,0.6856331,0.6905334
13,1728018540000,0.6932,LONG,0.6961621,0.6917190
14,1728023040000,0.6974,LONG,0.7006075,0.6957963
15,1728026760000,0.6968,LONG,0.7011490,0.6946255
16,1728028800000,0.6924,SHORT,0.6890054,0.6940973
17,1728029940000,0.6974,LONG,0.7010138,0.6955931
18,1728032160000,0.6957,SHORT,0.6918361,0.6976320
19,1728039240000,0.6912,SHORT,0.6882879,0.6926561
20,1728040860000,0.6932,LONG,0.6967206,0.6914397
21,1728046680000,0.7003,LONG,0.7066305,0.6971347
22,1728065820000,0.7097,LONG,0.7127795,0.7081603
23,1728072480000,0.7106,SHORT,0.7081807,0.7118097
24,1728077640000,0.7094,SHORT,0.7076471,0.7102764
25,1728085620000,0.709,LONG,0.7107542,0.7081229
26,1728091380000,0.7129,SHORT,0.7093293,0.7146853
27,1728096420000,0.7073,SHORT,0.7048173,0.7085414
28,1728102420000,0.7044,LONG,0.7073379,0.7029311
29,1728108840000,0.7099,SHORT,0.7071447,0.7112776
30,1728115740000,0.716,LONG,0.7186691,0.7146654
31,1728125280000,0.7166,SHORT,0.7132468,0.7182766
32,1728129900000,0.7213,LONG,0.7231991,0.7203504
33,1728139620000,0.718,LONG,0.7212111,0.7163944
34,1728141060000,0.7142,SHORT,0.7108711,0.7158644
35,1728143460000,0.7181,LONG,0.7207062,0.7167969
36,1728144360000,0.7136,SHORT,0.7106268,0.7150866
37,1728158640000,0.6969,SHORT,0.6941181,0.6982909
38,1728160920000,0.6946,SHORT,0.6913968,0.6962016
39,1728162840000,0.6979,LONG,0.7020099,0.6958450
40,1728165420000,0.6988,SHORT,0.6956841,0.7003579
41,1728166980000,0.7021,LONG,0.7044051,0.7009474
42,1728172920000,0.7009,SHORT,0.6986913,0.7020043
43,1728177000000,0.7041,LONG,0.7067826,0.7027587
44,1728184680000,0.7067,LONG,0.7092402,0.7054299
