,Date,Entry,Side,Take,Stop
0,1722504420000,0.12063,SHORT,0.1202925,0.120765
1,1722508440000,0.12034,LONG,0.120715,0.12019
2,1722509760000,0.12025,SHORT,0.11995,0.12036999999999999
3,1722512640000,0.1202,LONG,0.120575,0.12005
4,1722513720000,0.11995,SHORT,0.11965,0.12007
5,1722513960000,0.12023,LONG,0.12056750000000001,0.12009500000000001
6,1722516420000,0.12032,SHORT,0.11986999999999999,0.1205
7,1722517020000,0.12069,LONG,0.121065,0.12054000000000001
8,1722517560000,0.12034,SHORT,0.1199275,0.120505
9,1722521040000,0.11957,SHORT,0.118895,0.11984
10,1722530760000,0.11512,LONG,0.116545,0.11455
11,1722531900000,0.11447,SHORT,0.1134575,0.114875
12,1722535320000,0.11389,SHORT,0.11299000000000001,0.11425
14,1722535380000,0.11366,SHORT,0.1127975,0.114005
15,1722537300000,0.11312,SHORT,0.1119575,0.11358499999999999
16,1722538860000,0.11331,LONG,0.11420999999999999,0.11295
17,1722543840000,0.11427,SHORT,0.113745,0.11448
18,1722544620000,0.11513,LONG,0.11591749999999999,0.114815
19,1722549900000,0.118,LONG,0.11867499999999999,0.11772999999999999
20,1722549960000,0.11835,LONG,0.1190625,0.118065
21,1722553800000,0.11903,SHORT,0.118505,0.11924
22,1722555780000,0.11905,LONG,0.11950000000000001,0.11887
23,1722556920000,0.11854,SHORT,0.11801500000000001,0.11875000000000001
24,1722557460000,0.11909,LONG,0.1197275,0.118835
25,1722558300000,0.11855,SHORT,0.11795,0.11879
26,1722563940000,0.11734,SHORT,0.1167775,0.117565
27,1722566880000,0.11682,LONG,0.1176825,0.116475
28,1722568020000,0.11665,LONG,0.1174,0.11635000000000001
29,1722568080000,0.11677,LONG,0.11752,0.11647
30,1722573120000,0.11705,SHORT,0.11648750000000001,0.117275
31,1722576720000,0.11645,SHORT,0.115925,0.11666
32,1722581160000,0.1152,LONG,0.1161,0.11484
33,1722582780000,0.1154,SHORT,0.11465,0.1157
34,1722585960000,0.11567,SHORT,0.1150325,0.115925
35,1722586440000,0.11576,SHORT,0.11516,0.116
36,1722587400000,0.11615,LONG,0.1167875,0.115895
37,1722591120000,0.11654,SHORT,0.11597750000000001,0.11676500000000001
38,1722591180000,0.11643,SHORT,0.11590500000000001,0.11664000000000001
39,1722591840000,0.11682,LONG,0.11734499999999999,0.11660999999999999
40,1722593220000,0.11648,SHORT,0.1159925,0.116675
41,1722594780000,0.11642,SHORT,0.1158575,0.116645
43,1722595860000,0.11673,LONG,0.117255,0.11652
45,1722597840000,0.11704,LONG,0.117565,0.11683
46,1722598800000,0.11685,SHORT,0.1162875,0.117075
47,1722600420000,0.11701,LONG,0.1174975,0.116815
48,1722601260000,0.11697,SHORT,0.1164825,0.117165
49,1722603420000,0.1171,LONG,0.118225,0.11664999999999999
50,1722605520000,0.11726,LONG,0.1181975,0.116885
51,1722607560000,0.11753,SHORT,0.11632999999999999,0.11800999999999999
52,1722613080000,0.11249,LONG,0.11414,0.11183000000000001
53,1722616980000,0.11256,LONG,0.11357249999999999,0.11215499999999999
54,1722618240000,0.11215,SHORT,0.1112125,0.112525
55,1722618600000,0.11284,LONG,0.11377749999999999,0.112465
56,1722621240000,0.11285,SHORT,0.112025,0.11318
57,1722622920000,0.11306,LONG,0.11384749999999999,0.112745
58,1722624000000,0.11262,SHORT,0.11179499999999999,0.11295
59,1722627060000,0.11201,SHORT,0.11126,0.11231
60,1722628500000,0.11212,LONG,0.1129075,0.111805
61,1722630300000,0.11171,SHORT,0.110885,0.11204
62,1722631260000,0.11259,LONG,0.113565,0.1122
63,1722632820000,0.11208,SHORT,0.11125499999999999,0.11241
64,1722634980000,0.11182,LONG,0.112795,0.11143
65,1722640380000,0.11116,LONG,0.11209749999999999,0.110785
66,1722642180000,0.11082,SHORT,0.1101825,0.11107500000000001
67,1722643080000,0.11118,LONG,0.1117425,0.110955
68,1722645240000,0.11109,SHORT,0.11034,0.11138999999999999
69,1722648540000,0.10983,LONG,0.11118,0.10929
70,1722652440000,0.11069,SHORT,0.10997749999999999,0.11097499999999999
